	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_242_1.txt	242	1	160.0	98.0	182.0	32.0	153.0	187.0	154.0	23.0	180.0	19.0	37.0	38.0	23.0	25.0	39.0	7.0	40.0	33.0	41.0	27.0	11.0
alpha_rarefaction_242_2.txt	242	2	155.0	107.0	182.0	31.0	149.0	189.0	158.0	22.0	179.0	17.0	35.0	37.0	22.0	25.0	38.0	6.0	38.0	32.0	40.0	24.0	9.0
alpha_rarefaction_242_3.txt	242	3	161.0	103.0	187.0	30.0	152.0	181.0	158.0	22.0	179.0	19.0	38.0	38.0	22.0	25.0	36.0	6.0	41.0	34.0	38.0	26.0	13.0
alpha_rarefaction_242_4.txt	242	4	156.0	100.0	176.0	28.0	153.0	185.0	154.0	22.0	177.0	17.0	33.0	37.0	23.0	22.0	41.0	8.0	38.0	33.0	37.0	26.0	12.0
alpha_rarefaction_242_5.txt	242	5	161.0	103.0	182.0	31.0	152.0	187.0	161.0	23.0	180.0	18.0	37.0	38.0	21.0	22.0	37.0	8.0	39.0	35.0	40.0	28.0	13.0
alpha_rarefaction_242_6.txt	242	6	161.0	94.0	183.0	31.0	153.0	191.0	153.0	24.0	184.0	17.0	39.0	36.0	22.0	25.0	39.0	8.0	40.0	34.0	41.0	26.0	11.0
alpha_rarefaction_242_7.txt	242	7	158.0	106.0	183.0	32.0	157.0	188.0	155.0	23.0	174.0	18.0	39.0	36.0	22.0	23.0	34.0	8.0	41.0	33.0	38.0	22.0	11.0
alpha_rarefaction_242_8.txt	242	8	165.0	104.0	177.0	32.0	152.0	186.0	158.0	24.0	180.0	19.0	40.0	41.0	21.0	24.0	40.0	8.0	38.0	34.0	38.0	27.0	13.0
alpha_rarefaction_242_9.txt	242	9	166.0	106.0	182.0	31.0	154.0	183.0	151.0	25.0	178.0	19.0	38.0	35.0	22.0	26.0	40.0	8.0	39.0	32.0	38.0	24.0	12.0
alpha_rarefaction_271_0.txt	271	0	178.0	113.0	194.0	33.0	169.0	202.0	175.0	26.0	201.0	19.0	41.0	40.0	23.0	27.0	38.0	8.0	41.0	33.0	45.0	26.0	11.0
alpha_rarefaction_271_1.txt	271	1	179.0	114.0	197.0	33.0	170.0	203.0	168.0	24.0	200.0	19.0	41.0	39.0	23.0	25.0	38.0	8.0	41.0	34.0	42.0	27.0	13.0
alpha_rarefaction_271_2.txt	271	2	179.0	116.0	197.0	34.0	170.0	209.0	175.0	24.0	200.0	19.0	40.0	40.0	22.0	26.0	39.0	8.0	41.0	35.0	42.0	27.0	13.0
alpha_rarefaction_271_3.txt	271	3	174.0	114.0	198.0	33.0	170.0	206.0	174.0	21.0	200.0	19.0	40.0	37.0	23.0	26.0	39.0	8.0	40.0	35.0	41.0	27.0	13.0
